                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2612,                0.71632,                 1.0809,                0.82669,                0.91333,                0.93009,                0.60112,                 1.2349,                0.75926,                 1.1274,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.2146,                0.69811,                 1.0621,                0.86238,                0.87726,                0.93045,                0.59518,                 1.2301,                0.78871,                  1.128,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.2398,                0.69941,                 1.0818,                0.86686,                0.91556,                0.94281,                0.60678,                 1.2248,                0.73177,                 1.1319,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.1954,                0.68006,                 1.0585,                0.86743,                0.88696,                0.94551,                0.63298,                 1.1672,                0.70165,                 1.1097,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.2607,                0.69708,                 1.0707,                0.86663,                0.91556,                 0.9516,                0.60832,                 1.2408,                0.71075,                 1.1503,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.2526,                0.71709,                  1.071,                 0.8966,                0.86711,                0.94742,                0.61932,                 1.2027,                0.69301,                 1.1048,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.1989,                0.68775,                 1.0671,                0.85762,                0.91333,                0.94661,                0.62679,                 1.2249,                0.69069,                 1.1112,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.1938,                0.66502,                 1.0604,                0.87095,                0.88487,                0.94024,                0.62954,                 1.2014,                0.69868,                 1.0977,               0.001604,               0.001604,               0.001604
                     42,                 1.1971,                0.66714,                 1.0583,                0.87303,                0.86667,                0.93595,                0.59528,                 1.3103,                0.71461,                 1.1474,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.1964,                0.66887,                 1.0696,                0.81012,                0.94809,                0.94465,                0.64583,                 1.1156,                0.72072,                 1.0979,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.2105,                0.66884,                 1.0761,                0.83681,                0.91111,                0.94009,                0.60904,                 1.2511,                0.70465,                 1.1281,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.2884,                 0.6941,                 1.0769,                0.85133,                0.90444,                0.92198,                0.62474,                 1.1759,                0.69104,                  1.123,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.2422,                0.68774,                 1.0942,                0.85686,                0.91785,                0.93632,                0.62825,                 1.1643,                0.66631,                 1.1001,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.1683,                0.64683,                 1.0574,                0.86449,                0.92145,                0.95458,                0.66437,                 1.1195,                0.62924,                 1.0979,              0.0015446,              0.0015446,              0.0015446
